Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
14.98,2,0.1069080673905006908875872296,0.114832248728858,0.112009285821222,0.10703843751753,0.104213753888948,0.221415769047124,0.2251899562442413421872889618,0.1937515097470506421872889618,0.0314384464971907,7.2822539406369200909620684499,79.46188478304265319583835455,79.41792114392770534500149646,1254265000
14.99,2,0.1068941082762131308875872296,0.114815802358094,0.111996431010778,0.107024461380659,0.104203371501612,0.221345149338025,0.2251189309283467897953740851,0.1936700670992956897953740851,0.0314488638290511,7.2795022477353555434984062746,79.45356599484600199964205896,79.41057254441624584246253817,1255102000
15.00,2,0.1068801684414337908875872296,0.11479937800962,0.111983591365217,0.107010504546807,0.104193001555708,0.221274607401176,0.2250479838665714286313125411,0.1935886899587660286313125411,0.0314592939078054,7.2767532799563917707241288491,79.44524969625886733482981157,79.40322523641125831527028619,1255940000
15.01,2,0.1068662479346721108875872296,0.114782976588868,0.111970767807423,0.106996567064542,0.104182644117268,0.221204167772508,0.2249771396121089133653856387,0.1935074028786553133653856387,0.0314697367334536,7.2740077393397753317809762887,79.43690527486731176197525178,79.39585209981910435958977392,1256777000
15.02,2,0.1068523587611323508875872296,0.114766607797868,0.111957970056824,0.106982660953709,0.104172311223542,0.221133763868097,0.2249063319607998953560286452,0.1934261396548044953560286452,0.0314801923059954,7.2712637279185749739397571068,79.42859503831840000914410025,79.38850832984108760253573693,1257614000
15.03,2,0.1068384866041855408875872296,0.114750260239765,0.111945186733903,0.10696877188022,0.104161988557795,0.221063480048823,0.2248356448249930968978846032,0.1933449841995616968978846032,0.0314906606254314,7.268523648247079134256165814,79.42030165795039246977204301,79.38117858920349092423372813,1258451000
15.04,2,0.1068246335536368808875872296,0.114733935644314,0.111932419585706,0.106954901936428,0.104151678229678,0.220993305894192,0.2247650678515145212418839809,0.1932639261597533212418839809,0.0315011416917612,7.2657872023711876081300793279,79.41201644740727872720238431,79.37385518028572904553818996,1259289000
15.05,2,0.1068108094929285908875872296,0.114717642565144,0.111919677183089,0.106941061017829,0.104141390151927,0.220923202804757,0.2246945627635495395128429943,0.1931829272585649395128429943,0.0315116355049846,7.2630532923835449465741693589,79.40370246201438646448197479,79.36650535510016297215417605,1260126000
15.06,2,0.1067970082087374408875872296,0.114701375886182,0.111906954427158,0.106927242903522,0.104131118120829,0.220853202526679,0.2246241611099711104102364515,0.1931020190448690104102364515,0.0315221420651021,7.2603228207352898868592444226,79.39543747016651129035807772,79.35919804111067383243574412,1260963000
15.07,2,0.1067832341909748508875872296,0.11468513791117,0.111894253638777,0.106913452088893,0.104120866648903,0.220783242220404,0.2245538001705016836864779671,0.1930211387983883836864779671,0.0315326613721133,7.2575939892653843741700674314,79.38717132483816522443094519,79.35188878766578992504114882,1261801000
15.08,2,0.1067694690231887608875872296,0.114668912409196,0.1118815586041,0.106899670135034,0.104110617314318,0.220713385435934,0.2244835428905767838772332595,0.1929403494645582838772332595,0.0315431934260185,7.2548685998702646436914013007,79.37887848560785200113959337,79.34455496313129977824667988,1262638000
15.09,2,0.1067557325921615108875872296,0.114652718553745,0.11186888851363,0.106885916952977,0.104100390045132,0.220643610704556,0.2244133684842997355027225543,0.1928596302574820355027225543,0.0315537382268177,7.2521460557204014906080089403,79.37062354279448249022594943,79.33725381839628641066809967,1263475000
15.10,2,0.1067420254621752008875872296,0.114636557643828,0.111856244683336,0.106872193107692,0.104090185423286,0.220573939035976,0.2243432979945038333953748442,0.1927790022199932333953748442,0.0315642957745106,7.2494269582911048261476760683,79.36238654643878930980372366,79.32996767539362449423696015,1264313000
15.11,2,0.1067283286645173908875872296,0.114620409728137,0.111843607178817,0.106858479607335,0.104079984473852,0.220504343285646,0.2242733035974769108326542068,0.1926984375283797108326542068,0.0315748660690972,7.246710509134297449452142794,79.35411661850475445719692002,79.32265142429524587910161756,1265150000
15.12,2,0.1067146586641755608875872296,0.114604291286691,0.111830992496945,0.106844792936973,0.104069803698761,0.22043482302069,0.2242033854363397229281463517,0.1926179363257619229281463517,0.0315854491105778,7.2439967109926113017491948338,79.34588932425652368822027832,79.31537205980845101023389732,1265987000
15.13,2,0.1067010193480710108875872296,0.114588208648067,0.111818406983096,0.106831136988266,0.104059647006482,0.220365447956769,0.2241336134057347622517766099,0.1925375685067823622517766099,0.0315960448989524,7.2412875648425920042666179015,79.33768576650593411438749103,79.30811284038671123279930682,1266824000
15.14,2,0.1066873867748945408875872296,0.114572134086922,0.111805822928677,0.10681748779071,0.10404949044327,0.22029611098718,0.2240638794971876648906518217,0.1924572260629668648906518217,0.0316066534342208,7.2385799751119405061461521093,79.32947387309203450935665173,79.30084531591288732662189774,1267662000
15.15,2,0.1066737865843373308875872296,0.114556094234616,0.111793266981741,0.106803871015262,0.104039359696786,0.220226839165606,0.2239942116779079127324637089,0.1923769369615250127324637089,0.0316172747163829,7.2358747416447409525725603711,79.32123672945055370722567434,79.29355448777103602204380444,1268499000
15.16,2,0.1066602130389887708875872296,0.11454008530491,0.111780735372688,0.106790280917516,0.104029249039274,0.22015768866629,0.2239246659563587845779473828,0.1922967572109197845779473828,0.031627908745439,7.2331734676078134387306055997,79.31304738772399747576295952,79.28630514595038115327356168,1269336000
15.17,2,0.1066466462957576208875872296,0.114524085619344,0.11176820643965,0.106776697630182,0.104019138620046,0.220088607970274,0.2238551900889782120183532221,0.1922166345675892120183532221,0.031638555521389,7.2304746549758728018910963089,79.30485812250293824804699197,79.27905496269982957614317505,1270174000
15.18,2,0.1066331112950114708875872296,0.114508120014453,0.111755705035699,0.106763146124042,0.10400905342643,0.220019592796853,0.2237857806650309134967270134,0.1921365656207981134967270134,0.0316492150442328,7.2277782046811294651527498135,79.29663863443428638399006377,79.27177706199786227761915639,1271011000
15.19,2,0.1066195930007524908875872296,0.114492175278093,0.111743217965175,0.106749611344762,0.103998978420586,0.219950696161609,0.2237164902072785870767656875,0.1920566028933082870767656875,0.0316598873139703,7.2250856200323917257863746269,79.28847113237260503655363276,79.26454436670980163198325493,1271848000
15.20,2,0.1066061054681175808875872296,0.114476263772502,0.111730757606749,0.106736107364619,0.103988927691235,0.219881868849234,0.2236472699624046183390722373,0.1919766976318028183390722373,0.0316705723306018,7.2223955029925729229337108613,79.2803086983176632906700357,79.25731525898117997345187586,1272685000
15.21,2,0.1065926340445257808875872296,0.114460370836032,0.111718309315156,0.106722619513163,0.10397888658432,0.219813111367287,0.2235781199265468657384474570,0.1918968498324194657384474570,0.0316812700941274,7.2197078520935752317795214306,79.2721132183462601696311021,79.2500559260924949537832345,1273523000
15.22,2,0.1065791813557376308875872296,0.114444500934127,0.111705877572169,0.106709150419357,0.103968857745142,0.219744476259218,0.2235090927675579469898353788,0.1918171121630113469898353788,0.0316919806045466,7.2170241748007814035515920497,79.26397412275522349804604099,79.24284571057054356257399533,1274360000
15.23,2,0.1065657500453288608875872296,0.114428654518683,0.111693462845964,0.10669570273,0.103958843836791,0.2196759006245,0.2234401256395673208140982255,0.1917374217777077208140982255,0.0317027038618596,7.2143426693551620334346856307,79.25583408246089041045670121,79.23563374932928248785734098,1275197000
